Data Table for Total Cases - New York City*
Date generated: Mon Sep 27 2021 10:01:22 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New York City,Mar 12 2021,777375
New York City,Mar 11 2021,773069
New York City,Mar 10 2021,768646
New York City,Mar  9 2021,764076
New York City,Mar  8 2021,761346
New York City,Mar  7 2021,758599
New York City,Mar  6 2021,754803
New York City,Mar  5 2021,750678
New York City,Mar  4 2021,746307
New York City,Mar  3 2021,742175
New York City,Mar  2 2021,737266
New York City,Mar  1 2021,734342
New York City,Feb 28 2021,731533
New York City,Feb 27 2021,727306
New York City,Feb 26 2021,722841
New York City,Feb 25 2021,718377
New York City,Feb 24 2021,713840
New York City,Feb 23 2021,709241
New York City,Feb 22 2021,706373
New York City,Feb 21 2021,702944
New York City,Feb 20 2021,698926
New York City,Feb 19 2021,696073
New York City,Feb 18 2021,691598
New York City,Feb 17 2021,686911
New York City,Feb 16 2021,683354
New York City,Feb 15 2021,680657
New York City,Feb 14 2021,677629
New York City,Feb 13 2021,673456
New York City,Feb 12 2021,669111
New York City,Feb 11 2021,664336
New York City,Feb 10 2021,659574
New York City,Feb  9 2021,653967
New York City,Feb  8 2021,651584
New York City,Feb  7 2021,647630
New York City,Feb  6 2021,642344
New York City,Feb  5 2021,636356
New York City,Feb  4 2021,630125
New York City,Feb  3 2021,626920
New York City,Feb  2 2021,625387
New York City,Feb  1 2021,621542
New York City,Jan 31 2021,617852
New York City,Jan 30 2021,613156
New York City,Jan 29 2021,607306
New York City,Jan 28 2021,601298
New York City,Jan 27 2021,595353
New York City,Jan 26 2021,588260
New York City,Jan 25 2021,584424
New York City,Jan 24 2021,580099
New York City,Jan 23 2021,574157
New York City,Jan 22 2021,567982
New York City,Jan 21 2021,561787
New York City,Jan 20 2021,555310
New York City,Jan 19 2021,549352
New York City,Jan 18 2021,545407
New York City,Jan 17 2021,541009
New York City,Jan 16 2021,535109
New York City,Jan 15 2021,528714
New York City,Jan 14 2021,522320
New York City,Jan 13 2021,515913
New York City,Jan 12 2021,508662
New York City,Jan 11 2021,504475
New York City,Jan 10 2021,499879
New York City,Jan  9 2021,493488
New York City,Jan  8 2021,486905
New York City,Jan  7 2021,479975
New York City,Jan  6 2021,472480
