Data Table for Total Cases - California
Date generated: Mon Sep 27 2021 02:39:20 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
California,Feb 23 2021,3628729
California,Feb 22 2021,3625884
California,Feb 21 2021,3622539
California,Feb 20 2021,3618009
California,Feb 19 2021,3613276
California,Feb 18 2021,3607891
California,Feb 17 2021,3601884
California,Feb 16 2021,3596280
California,Feb 15 2021,3592548
California,Feb 14 2021,3587831
California,Feb 13 2021,3581280
California,Feb 12 2021,3574282
California,Feb 11 2021,3566403
California,Feb 10 2021,3558228
California,Feb  9 2021,3548234
California,Feb  8 2021,3542702
California,Feb  7 2021,3535588
California,Feb  6 2021,3525593
California,Feb  5 2021,3514974
California,Feb  4 2021,3502831
California,Feb  3 2021,3489574
California,Feb  2 2021,3473530
California,Feb  1 2021,3465120
California,Jan 31 2021,3454476
California,Jan 30 2021,3440946
California,Jan 29 2021,3425668
California,Jan 28 2021,3409167
California,Jan 27 2021,3390460
California,Jan 26 2021,3369195
California,Jan 25 2021,3358273
California,Jan 24 2021,3344139
California,Jan 23 2021,3323236
California,Jan 22 2021,3300004
California,Jan 21 2021,3273604
California,Jan 20 2021,3244821
California,Jan 19 2021,3219823
California,Jan 18 2021,3205426
California,Jan 17 2021,3184620
California,Jan 16 2021,3154322
California,Jan 15 2021,3121384
California,Jan 14 2021,3085416
California,Jan 13 2021,3045429
California,Jan 12 2021,3001412
California,Jan 11 2021,2981271
California,Jan 10 2021,2951451
California,Jan  9 2021,2908436
California,Jan  8 2021,2861258
California,Jan  7 2021,2808662
California,Jan  6 2021,2751668
California,Jan  5 2021,2688659
California,Jan  4 2021,2659981
California,Jan  3 2021,2620673
California,Jan  2 2021,2600368
California,Jan  1 2021,2562617
California,Dec 31 2020,2506077
California,Dec 30 2020,2445142
California,Dec 29 2020,2384661
California,Dec 28 2020,2356975
California,Dec 27 2020,2320298
California,Dec 26 2020,2306621
California,Dec 25 2020,2278377
California,Dec 24 2020,2231079
California,Dec 23 2020,2179917
California,Dec 22 2020,2129182
California,Dec 21 2020,2106742
California,Dec 20 2020,2075375
California,Dec 19 2020,2031902
California,Dec 18 2020,1985205
California,Dec 17 2020,1937197
California,Dec 16 2020,1886597
California,Dec 15 2020,1834824
California,Dec 14 2020,1812296
California,Dec 13 2020,1780206
California,Dec 12 2020,1738109
California,Dec 11 2020,1695353
California,Dec 10 2020,1651949
California,Dec  9 2020,1609032
California,Dec  8 2020,1566301
California,Dec  7 2020,1546815
California,Dec  6 2020,1521297
California,Dec  5 2020,1488165
California,Dec  4 2020,1454952
California,Dec  3 2020,1420154
California,Dec  2 2020,1384381
California,Dec  1 2020,1350579
California,Nov 30 2020,1333769
California,Nov 29 2020,1314800
California,Nov 28 2020,1295862
California,Nov 27 2020,1286324
California,Nov 26 2020,1264596
California,Nov 25 2020,1243214
California,Nov 24 2020,1221331
California,Nov 23 2020,1210608
California,Nov 22 2020,1197704
California,Nov 21 2020,1179541
California,Nov 20 2020,1162360
California,Nov 19 2020,1144447
California,Nov 18 2020,1126736
California,Nov 17 2020,1108528
California,Nov 16 2020,1099015
California,Nov 15 2020,1088760
California,Nov 14 2020,1075877
California,Nov 13 2020,1063936
California,Nov 12 2020,1052955
California,Nov 11 2020,1041673
California,Nov 10 2020,1030245
California,Nov  9 2020,1024501
California,Nov  8 2020,1017843
California,Nov  7 2020,1009054
California,Nov  6 2020,1000592
California,Nov  5 2020,991904
California,Nov  4 2020,983381
California,Nov  3 2020,974498
California,Nov  2 2020,969343
California,Nov  1 2020,964742
California,Oct 31 2020,959027
California,Oct 30 2020,953985
California,Oct 29 2020,948911
California,Oct 28 2020,943909
California,Oct 27 2020,938291
California,Oct 26 2020,935281
California,Oct 25 2020,931929
California,Oct 24 2020,927222
California,Oct 23 2020,922948
California,Oct 22 2020,918410
California,Oct 21 2020,913639
California,Oct 20 2020,908479
California,Oct 19 2020,905843
California,Oct 18 2020,902844
California,Oct 17 2020,898937
California,Oct 16 2020,894930
California,Oct 15 2020,891037
California,Oct 14 2020,887123
California,Oct 13 2020,882684
California,Oct 12 2020,880400
California,Oct 11 2020,877330
California,Oct 10 2020,873700
California,Oct  9 2020,869850
California,Oct  8 2020,866037
California,Oct  7 2020,862219
California,Oct  6 2020,857811
California,Oct  5 2020,855530
California,Oct  4 2020,852810
California,Oct  3 2020,849370
California,Oct  2 2020,845559
California,Oct  1 2020,841775
California,Sep 30 2020,837896
California,Sep 29 2020,833762
California,Sep 28 2020,831649
California,Sep 27 2020,829255
California,Sep 26 2020,825693
California,Sep 25 2020,822256
California,Sep 24 2020,818408
California,Sep 23 2020,814608
California,Sep 22 2020,810422
California,Sep 21 2020,808215
California,Sep 20 2020,805663
California,Sep 19 2020,802166
California,Sep 18 2020,798802
California,Sep 17 2020,794927
California,Sep 16 2020,791094
California,Sep 15 2020,786861
California,Sep 14 2020,784794
California,Sep 13 2020,782413
California,Sep 12 2020,778992
California,Sep 11 2020,775701
California,Sep 10 2020,772033
California,Sep  9 2020,767718
California,Sep  8 2020,765352
California,Sep  7 2020,763340
California,Sep  6 2020,761017
California,Sep  5 2020,757475
California,Sep  4 2020,753723
California,Sep  3 2020,749591
California,Sep  2 2020,744915
California,Sep  1 2020,740479
California,Aug 31 2020,738172
California,Aug 30 2020,735487
California,Aug 29 2020,731485
California,Aug 28 2020,727409
California,Aug 27 2020,722694
California,Aug 26 2020,717713
California,Aug 25 2020,712120
California,Aug 24 2020,709508
California,Aug 23 2020,706334
California,Aug 22 2020,701862
California,Aug 21 2020,697089
California,Aug 20 2020,692309
California,Aug 19 2020,686950
California,Aug 18 2020,681106
California,Aug 17 2020,678398
California,Aug 16 2020,674707
California,Aug 15 2020,669428
California,Aug 14 2020,664157
California,Aug 13 2020,658128
California,Aug 12 2020,651842
California,Aug 11 2020,644692
California,Aug 10 2020,641482
California,Aug  9 2020,637157
California,Aug  8 2020,630658
California,Aug  7 2020,624365
California,Aug  6 2020,617590
California,Aug  5 2020,610279
California,Aug  4 2020,602658
California,Aug  3 2020,599040
California,Aug  2 2020,593597
California,Aug  1 2020,586254
California,Jul 31 2020,578966
California,Jul 30 2020,571111
California,Jul 29 2020,562226
California,Jul 28 2020,553071
California,Jul 27 2020,548874
California,Jul 26 2020,543042
California,Jul 25 2020,534705
California,Jul 24 2020,526146
California,Jul 23 2020,516695
California,Jul 22 2020,506519
California,Jul 21 2020,495407
California,Jul 20 2020,489884
California,Jul 19 2020,482516
California,Jul 18 2020,471704
California,Jul 17 2020,460579
California,Jul 16 2020,448883
California,Jul 15 2020,437248
California,Jul 14 2020,425540
California,Jul 13 2020,419623
California,Jul 12 2020,412040
California,Jul 11 2020,400554
California,Jul 10 2020,389336
California,Jul  9 2020,377123
California,Jul  8 2020,364547
California,Jul  7 2020,352743
California,Jul  6 2020,346484
California,Jul  5 2020,341076
California,Jul  4 2020,333055
California,Jul  3 2020,322393
California,Jul  2 2020,311133
California,Jul  1 2020,300577
California,Jun 30 2020,290043
California,Jun 29 2020,284566
California,Jun 28 2020,278289
California,Jun 27 2020,269178
California,Jun 26 2020,259749
