Data Table for Total Cases - New Jersey
Date generated: Mon Sep 27 2021 02:34:08 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New Jersey,Apr  8 2021,942311
New Jersey,Apr  7 2021,937979
New Jersey,Apr  6 2021,933736
New Jersey,Apr  5 2021,930026
New Jersey,Apr  4 2021,927195
New Jersey,Apr  3 2021,923396
New Jersey,Apr  2 2021,918951
New Jersey,Apr  1 2021,914422
New Jersey,Mar 31 2021,908816
New Jersey,Mar 30 2021,905144
New Jersey,Mar 29 2021,900273
New Jersey,Mar 28 2021,896652
New Jersey,Mar 27 2021,892143
New Jersey,Mar 26 2021,887481
New Jersey,Mar 25 2021,881882
New Jersey,Mar 24 2021,877936
New Jersey,Mar 23 2021,873840
New Jersey,Mar 22 2021,869037
New Jersey,Mar 21 2021,865886
New Jersey,Mar 20 2021,862648
New Jersey,Mar 19 2021,857739
New Jersey,Mar 18 2021,853349
New Jersey,Mar 17 2021,848876
New Jersey,Mar 16 2021,844563
New Jersey,Mar 15 2021,840685
New Jersey,Mar 14 2021,838025
New Jersey,Mar 13 2021,834715
New Jersey,Mar 12 2021,830681
New Jersey,Mar 11 2021,826632
New Jersey,Mar 10 2021,822817
New Jersey,Mar  9 2021,819042
New Jersey,Mar  8 2021,814916
New Jersey,Mar  7 2021,812609
New Jersey,Mar  6 2021,810090
New Jersey,Mar  5 2021,806370
New Jersey,Mar  4 2021,802669
New Jersey,Mar  3 2021,799476
New Jersey,Mar  2 2021,795785
New Jersey,Mar  1 2021,792496
New Jersey,Feb 28 2021,789356
New Jersey,Feb 27 2021,786967
New Jersey,Feb 26 2021,782833
New Jersey,Feb 25 2021,778963
New Jersey,Feb 24 2021,775386
New Jersey,Feb 23 2021,772267
New Jersey,Feb 22 2021,769109
New Jersey,Feb 21 2021,766405
New Jersey,Feb 20 2021,764374
New Jersey,Feb 19 2021,761498
New Jersey,Feb 18 2021,758451
New Jersey,Feb 17 2021,755174
New Jersey,Feb 16 2021,751065
New Jersey,Feb 15 2021,747432
New Jersey,Feb 14 2021,745987
New Jersey,Feb 13 2021,743819
New Jersey,Feb 12 2021,740062
New Jersey,Feb 11 2021,736330
New Jersey,Feb 10 2021,732674
New Jersey,Feb  9 2021,728304
New Jersey,Feb  8 2021,724728
New Jersey,Feb  7 2021,722167
New Jersey,Feb  6 2021,717835
New Jersey,Feb  5 2021,713324
New Jersey,Feb  4 2021,709096
New Jersey,Feb  3 2021,705807
New Jersey,Feb  2 2021,703496
New Jersey,Feb  1 2021,700346
New Jersey,Jan 31 2021,696829
New Jersey,Jan 30 2021,692543
New Jersey,Jan 29 2021,687269
New Jersey,Jan 28 2021,681283
New Jersey,Jan 27 2021,676537
New Jersey,Jan 26 2021,671727
New Jersey,Jan 25 2021,666951
New Jersey,Jan 24 2021,662808
New Jersey,Jan 23 2021,657536
New Jersey,Jan 22 2021,650389
New Jersey,Jan 21 2021,646189
New Jersey,Jan 20 2021,641140
New Jersey,Jan 19 2021,635702
New Jersey,Jan 18 2021,631074
New Jersey,Jan 17 2021,627221
New Jersey,Jan 16 2021,622089
New Jersey,Jan 15 2021,616032
New Jersey,Jan 14 2021,609721
New Jersey,Jan 13 2021,602629
New Jersey,Jan 12 2021,594749
New Jersey,Jan 11 2021,590162
New Jersey,Jan 10 2021,584828
New Jersey,Jan  9 2021,579182
New Jersey,Jan  8 2021,570575
New Jersey,Jan  7 2021,564806
New Jersey,Jan  6 2021,557267
New Jersey,Jan  5 2021,551419
New Jersey,Jan  4 2021,546091
New Jersey,Jan  3 2021,543595
New Jersey,Jan  2 2021,539546
New Jersey,Jan  1 2021,533587
New Jersey,Dec 31 2020,527784
New Jersey,Dec 30 2020,522259
New Jersey,Dec 29 2020,516972
New Jersey,Dec 28 2020,512683
New Jersey,Dec 27 2020,509099
New Jersey,Dec 26 2020,506145
New Jersey,Dec 25 2020,501543
New Jersey,Dec 24 2020,496140
New Jersey,Dec 23 2020,490882
New Jersey,Dec 22 2020,485445
New Jersey,Dec 21 2020,480216
New Jersey,Dec 20 2020,476340
New Jersey,Dec 19 2020,470652
New Jersey,Dec 18 2020,465901
New Jersey,Dec 17 2020,461335
New Jersey,Dec 16 2020,456529
New Jersey,Dec 15 2020,450212
New Jersey,Dec 14 2020,445605
New Jersey,Dec 13 2020,440069
New Jersey,Dec 12 2020,435376
New Jersey,Dec 11 2020,428581
New Jersey,Dec 10 2020,424282
New Jersey,Dec  9 2020,418479
New Jersey,Dec  8 2020,413368
New Jersey,Dec  7 2020,407202
New Jersey,Dec  6 2020,402782
New Jersey,Dec  5 2020,396180
New Jersey,Dec  4 2020,390256
New Jersey,Dec  3 2020,383870
