Data Table for Daily Case Trends - Georgia
Date generated: Mon Sep 27 2021 01:37:11 GMT-0500 (Central Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Georgia,Apr 12 2021,939,1362
Georgia,Apr 11 2021,1092,1319
Georgia,Apr 10 2021,1570,1288
Georgia,Apr  9 2021,1441,1225
Georgia,Apr  8 2021,1490,1245
Georgia,Apr  7 2021,1528,1235
Georgia,Apr  6 2021,1474,1275
Georgia,Apr  5 2021,643,1253
Georgia,Apr  4 2021,874,1328
Georgia,Apr  3 2021,1125,1321
Georgia,Apr  2 2021,1582,1362
Georgia,Apr  1 2021,1425,1373
Georgia,Mar 31 2021,1807,1450
Georgia,Mar 30 2021,1320,1366
Georgia,Mar 29 2021,1165,1434
Georgia,Mar 28 2021,826,1374
Georgia,Mar 27 2021,1410,1470
Georgia,Mar 26 2021,1659,1514
Georgia,Mar 25 2021,1964,1506
Georgia,Mar 24 2021,1224,1549
Georgia,Mar 23 2021,1791,1666
Georgia,Mar 22 2021,744,1659
Georgia,Mar 21 2021,1504,1693
Georgia,Mar 20 2021,1717,1595
Georgia,Mar 19 2021,1600,1529
Georgia,Mar 18 2021,2267,1524
Georgia,Mar 17 2021,2044,1445
Georgia,Mar 16 2021,1743,1402
Georgia,Mar 15 2021,977,1404
Georgia,Mar 14 2021,819,1471
Georgia,Mar 13 2021,1254,1598
Georgia,Mar 12 2021,1567,1743
Georgia,Mar 11 2021,1714,1816
Georgia,Mar 10 2021,1740,1984
Georgia,Mar  9 2021,1761,2126
Georgia,Mar  8 2021,1444,2324
Georgia,Mar  7 2021,1709,2423
Georgia,Mar  6 2021,2269,2513
Georgia,Mar  5 2021,2081,2669
Georgia,Mar  4 2021,2886,2862
Georgia,Mar  3 2021,2735,2925
Georgia,Mar  2 2021,3147,2998
Georgia,Mar  1 2021,2139,3088
Georgia,Feb 28 2021,2334,3002
Georgia,Feb 27 2021,3365,2920
Georgia,Feb 26 2021,3434,2915
Georgia,Feb 25 2021,3327,2950
Georgia,Feb 24 2021,3240,2973
Georgia,Feb 23 2021,3780,3017
Georgia,Feb 22 2021,1536,2890
Georgia,Feb 21 2021,1758,2966
Georgia,Feb 20 2021,3336,2991
Georgia,Feb 19 2021,3679,3060
Georgia,Feb 18 2021,3485,3092
Georgia,Feb 17 2021,3545,3191
Georgia,Feb 16 2021,2895,3183
Georgia,Feb 15 2021,2070,3301
Georgia,Feb 14 2021,1929,3392
Georgia,Feb 13 2021,3823,3629
Georgia,Feb 12 2021,3900,3724
Georgia,Feb 11 2021,4179,3859
Georgia,Feb 10 2021,3490,4077
Georgia,Feb  9 2021,3721,4282
Georgia,Feb  8 2021,2704,4459
Georgia,Feb  7 2021,3589,4506
Georgia,Feb  6 2021,4490,4506
Georgia,Feb  5 2021,4842,4771
Georgia,Feb  4 2021,5706,5016
Georgia,Feb  3 2021,4924,5251
Georgia,Feb  2 2021,4961,5459
Georgia,Feb  1 2021,3034,5950
Georgia,Jan 31 2021,3587,6076
Georgia,Jan 30 2021,6343,6242
Georgia,Jan 29 2021,6558,6620
Georgia,Jan 28 2021,7352,6879
Georgia,Jan 27 2021,6384,6993
Georgia,Jan 26 2021,8393,7253
Georgia,Jan 25 2021,3917,7125
Georgia,Jan 24 2021,4753,7273
Georgia,Jan 23 2021,8985,7499
Georgia,Jan 22 2021,8374,7434
Georgia,Jan 21 2021,8150,7639
Georgia,Jan 20 2021,8205,7765
Georgia,Jan 19 2021,7492,7821
Georgia,Jan 18 2021,4957,8064
Georgia,Jan 17 2021,6332,8421
Georgia,Jan 16 2021,8533,8687
Georgia,Jan 15 2021,9806,9172
Georgia,Jan 14 2021,9036,9670
Georgia,Jan 13 2021,8596,9778
Georgia,Jan 12 2021,9193,9648
Georgia,Jan 11 2021,7454,9776
Georgia,Jan 10 2021,8193,9449
Georgia,Jan  9 2021,11926,9104
Georgia,Jan  8 2021,13296,8476
Georgia,Jan  7 2021,9790,8168
Georgia,Jan  6 2021,7686,8442
Georgia,Jan  5 2021,10091,8637
Georgia,Jan  4 2021,5163,8546
Georgia,Jan  3 2021,5778,8371
Georgia,Jan  2 2021,7533,8047
Georgia,Jan  1 2021,11137,7565
Georgia,Dec 31 2020,11709,6839
Georgia,Dec 30 2020,9053,6636
Georgia,Dec 29 2020,9450,6453
Georgia,Dec 28 2020,3941,6400
Georgia,Dec 27 2020,3511,6340
Georgia,Dec 26 2020,4158,6641
Georgia,Dec 25 2020,6054,6870
Georgia,Dec 24 2020,10286,7168
Georgia,Dec 23 2020,7773,6810
Georgia,Dec 22 2020,9079,6646
Georgia,Dec 21 2020,3520,6411
Georgia,Dec 20 2020,5618,6440
Georgia,Dec 19 2020,5763,6322
Georgia,Dec 18 2020,8141,6420
Georgia,Dec 17 2020,7777,6142
Georgia,Dec 16 2020,6624,6120
Georgia,Dec 15 2020,7437,5961
Georgia,Dec 14 2020,3720,5695
Georgia,Dec 13 2020,4798,5919
Georgia,Dec 12 2020,6447,5524
Georgia,Dec 11 2020,6191,5319
Georgia,Dec 10 2020,7623,5346
Georgia,Dec  9 2020,5512,5091
Georgia,Dec  8 2020,5577,5123
Georgia,Dec  7 2020,5285,5018
Georgia,Dec  6 2020,2034,4555
Georgia,Dec  5 2020,5017,4543
Georgia,Dec  4 2020,6376,4261
Georgia,Dec  3 2020,5839,3780
Georgia,Dec  2 2020,5734,3461
Georgia,Dec  1 2020,4842,3096
Georgia,Nov 30 2020,2047,2929
Georgia,Nov 29 2020,1952,2912
Georgia,Nov 28 2020,3038,2965
Georgia,Nov 27 2020,3009,3419
Georgia,Nov 26 2020,3608,3480
Georgia,Nov 25 2020,3177,3453
Georgia,Nov 24 2020,3676,3451
Georgia,Nov 23 2020,1924,3545
Georgia,Nov 22 2020,2328,3449
Georgia,Nov 21 2020,6213,3414
Georgia,Nov 20 2020,3435,2960
Georgia,Nov 19 2020,3424,2991
Georgia,Nov 18 2020,3161,2902
Georgia,Nov 17 2020,4335,2769
Georgia,Nov 16 2020,1247,2761
Georgia,Nov 15 2020,2084,2819
Georgia,Nov 14 2020,3035,2722
Georgia,Nov 13 2020,3653,2584
Georgia,Nov 12 2020,2802,2457
Georgia,Nov 11 2020,2232,2401
Georgia,Nov 10 2020,4279,2478
Georgia,Nov  9 2020,1648,2159
Georgia,Nov  8 2020,1405,2118
Georgia,Nov  7 2020,2072,2122
Georgia,Nov  6 2020,2762,2217
Georgia,Nov  5 2020,2410,2080
Georgia,Nov  4 2020,2773,2049
Georgia,Nov  3 2020,2049,2034
Georgia,Nov  2 2020,1357,2033
Georgia,Nov  1 2020,1435,2031
Georgia,Oct 31 2020,2736,2021
Georgia,Oct 30 2020,1804,1909
Georgia,Oct 29 2020,2192,2058
Georgia,Oct 28 2020,2669,2035
Georgia,Oct 27 2020,2039,1883
Georgia,Oct 26 2020,1346,1806
Georgia,Oct 25 2020,1366,1776
Georgia,Oct 24 2020,1953,1760
Georgia,Oct 23 2020,2841,1765
Georgia,Oct 22 2020,2037,1644
Georgia,Oct 21 2020,1601,1620
Georgia,Oct 20 2020,1500,1616
Georgia,Oct 19 2020,1134,1591
Georgia,Oct 18 2020,1258,1598
Georgia,Oct 17 2020,1987,1592
Georgia,Oct 16 2020,1997,1499
Georgia,Oct 15 2020,1864,1501
Georgia,Oct 14 2020,1576,1496
Georgia,Oct 13 2020,1325,1527
Georgia,Oct 12 2020,1181,1621
Georgia,Oct 11 2020,1218,1612
Georgia,Oct 10 2020,1336,1572
Georgia,Oct  9 2020,2011,1601
Georgia,Oct  8 2020,1827,1531
Georgia,Oct  7 2020,1796,1496
Georgia,Oct  6 2020,1978,1512
Georgia,Oct  5 2020,1119,1425
Georgia,Oct  4 2020,940,1402
Georgia,Oct  3 2020,1538,1392
Georgia,Oct  2 2020,1522,1379
Georgia,Oct  1 2020,1585,1449
Georgia,Sep 30 2020,1906,1452
Georgia,Sep 29 2020,1368,1421
Georgia,Sep 28 2020,956,1399
Georgia,Sep 27 2020,875,1460
Georgia,Sep 26 2020,1442,1499
Georgia,Sep 25 2020,2012,1620
Georgia,Sep 24 2020,1608,1648
Georgia,Sep 23 2020,1691,1716
Georgia,Sep 22 2020,1209,1856
Georgia,Sep 21 2020,1385,1947
Georgia,Sep 20 2020,1152,1947
Georgia,Sep 19 2020,2288,1993
Georgia,Sep 18 2020,2207,1982
Georgia,Sep 17 2020,2083,1969
Georgia,Sep 16 2020,2669,1987
Georgia,Sep 15 2020,1848,1919
Georgia,Sep 14 2020,1384,1904
Georgia,Sep 13 2020,1478,1821
Georgia,Sep 12 2020,2205,1849
Georgia,Sep 11 2020,2116,1859
Georgia,Sep 10 2020,2214,1885
Georgia,Sep  9 2020,2192,1993
Georgia,Sep  8 2020,1744,2021
Georgia,Sep  7 2020,798,2130
Georgia,Sep  6 2020,1679,2262
Georgia,Sep  5 2020,2270,2217
Georgia,Sep  4 2020,2298,2257
Georgia,Sep  3 2020,2973,2312
Georgia,Sep  2 2020,2386,2290
Georgia,Sep  1 2020,2512,2321
Georgia,Aug 31 2020,1720,2318
Georgia,Aug 30 2020,1361,2421
Georgia,Aug 29 2020,2554,2485
Georgia,Aug 28 2020,2678,2514
Georgia,Aug 27 2020,2819,2613
Georgia,Aug 26 2020,2603,2630
Georgia,Aug 25 2020,2494,2617
Georgia,Aug 24 2020,2441,2722
Georgia,Aug 23 2020,1812,2652
