Data Table for Total Cases - Florida
Date generated: Mon Sep 27 2021 02:38:29 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Florida,Mar 21 2021,1971382
Florida,Mar 20 2021,1968423
Florida,Mar 19 2021,1964464
Florida,Mar 18 2021,1959566
Florida,Mar 17 2021,1954491
Florida,Mar 16 2021,1948631
Florida,Mar 15 2021,1943965
Florida,Mar 14 2021,1939341
Florida,Mar 13 2021,1936468
Florida,Mar 12 2021,1932662
Florida,Mar 11 2021,1927513
Florida,Mar 10 2021,1922469
Florida,Mar  9 2021,1917463
Florida,Mar  8 2021,1912657
Florida,Mar  7 2021,1908246
Florida,Mar  6 2021,1904879
Florida,Mar  5 2021,1900822
Florida,Mar  4 2021,1896247
Florida,Mar  3 2021,1890366
Florida,Mar  2 2021,1884316
Florida,Mar  1 2021,1879675
Florida,Feb 28 2021,1872725
Florida,Feb 27 2021,1870923
Florida,Feb 26 2021,1866125
Florida,Feb 25 2021,1860717
Florida,Feb 24 2021,1854818
Florida,Feb 23 2021,1848299
Florida,Feb 22 2021,1841257
Florida,Feb 21 2021,1835699
Florida,Feb 20 2021,1831610
Florida,Feb 19 2021,1826701
Florida,Feb 18 2021,1819623
Florida,Feb 17 2021,1813012
Florida,Feb 16 2021,1807990
Florida,Feb 15 2021,1800806
Florida,Feb 14 2021,1794139
Florida,Feb 13 2021,1790385
Florida,Feb 12 2021,1784717
Florida,Feb 11 2021,1777629
Florida,Feb 10 2021,1770187
Florida,Feb  9 2021,1761928
Florida,Feb  8 2021,1754504
Florida,Feb  7 2021,1747493
Florida,Feb  6 2021,1741969
Florida,Feb  5 2021,1735343
Florida,Feb  4 2021,1727999
Florida,Feb  3 2021,1717486
Florida,Feb  2 2021,1709991
Florida,Feb  1 2021,1703240
Florida,Jan 31 2021,1692957
Florida,Jan 30 2021,1687371
Florida,Jan 29 2021,1679733
Florida,Jan 28 2021,1665065
Florida,Jan 27 2021,1654235
Florida,Jan 26 2021,1642967
Florida,Jan 25 2021,1634746
Florida,Jan 24 2021,1625351
Florida,Jan 23 2021,1616810
Florida,Jan 22 2021,1607425
Florida,Jan 21 2021,1595376
Florida,Jan 20 2021,1581964
Florida,Jan 19 2021,1569319
Florida,Jan 18 2021,1557766
Florida,Jan 17 2021,1548193
Florida,Jan 16 2021,1540374
Florida,Jan 15 2021,1529590
Florida,Jan 14 2021,1517704
Florida,Jan 13 2021,1501213
Florida,Jan 12 2021,1487842
Florida,Jan 11 2021,1474185
Florida,Jan 10 2021,1459623
Florida,Jan  9 2021,1448046
Florida,Jan  8 2021,1435797
Florida,Jan  7 2021,1420783
Florida,Jan  6 2021,1401725
Florida,Jan  5 2021,1382333
Florida,Jan  4 2021,1364956
Florida,Jan  3 2021,1349785
Florida,Jan  2 2021,1338577
Florida,Jan  1 2021,1328153
Florida,Dec 31 2020,1318490
Florida,Dec 30 2020,1297544
Florida,Dec 29 2020,1281051
Florida,Dec 28 2020,1267640
Florida,Dec 27 2020,1255766
Florida,Dec 26 2020,1247764
Florida,Dec 25 2020,1240727
Florida,Dec 24 2020,1234809
Florida,Dec 23 2020,1224202
Florida,Dec 22 2020,1211387
Florida,Dec 21 2020,1200279
Florida,Dec 20 2020,1190101
Florida,Dec 19 2020,1179407
Florida,Dec 18 2020,1171255
Florida,Dec 17 2020,1159870
Florida,Dec 16 2020,1146952
Florida,Dec 15 2020,1134109
Florida,Dec 14 2020,1122803
Florida,Dec 13 2020,1113408
Florida,Dec 12 2020,1105136
Florida,Dec 11 2020,1096304
Florida,Dec 10 2020,1085922
Florida,Dec  9 2020,1074552
Florida,Dec  8 2020,1063331
Florida,Dec  7 2020,1053982
Florida,Dec  6 2020,1046160
Florida,Dec  5 2020,1038647
Florida,Dec  4 2020,1030457
Florida,Dec  3 2020,1020298
Florida,Dec  2 2020,1010357
Florida,Dec  1 2020,999730
Florida,Nov 30 2020,989838
Florida,Nov 29 2020,981198
Florida,Nov 28 2020,974738
Florida,Nov 27 2020,967583
Florida,Nov 26 2020,961463
Florida,Nov 25 2020,954876
Florida,Nov 24 2020,944769
Florida,Nov 23 2020,936688
Florida,Nov 22 2020,928591
Florida,Nov 21 2020,922500
Florida,Nov 20 2020,916031
Florida,Nov 19 2020,907862
Florida,Nov 18 2020,899027
Florida,Nov 17 2020,890086
Florida,Nov 16 2020,882352
Florida,Nov 15 2020,875049
Florida,Nov 14 2020,870544
Florida,Nov 13 2020,860668
Florida,Nov 12 2020,856258
Florida,Nov 11 2020,849527
Florida,Nov 10 2020,844059
Florida,Nov  9 2020,838381
Florida,Nov  8 2020,834118
Florida,Nov  7 2020,830305
Florida,Nov  6 2020,823718
Florida,Nov  5 2020,819378
Florida,Nov  4 2020,814213
Florida,Nov  3 2020,808104
Florida,Nov  2 2020,803747
Florida,Nov  1 2020,799202
Florida,Oct 31 2020,796541
Florida,Oct 30 2020,790076
Florida,Oct 29 2020,787582
Florida,Oct 28 2020,782188
Florida,Oct 27 2020,778044
Florida,Oct 26 2020,774008
Florida,Oct 25 2020,769759
Florida,Oct 24 2020,766444
Florida,Oct 23 2020,764110
Florida,Oct 22 2020,759734
Florida,Oct 21 2020,756042
Florida,Oct 20 2020,750622
Florida,Oct 19 2020,748490
Florida,Oct 18 2020,744909
Florida,Oct 17 2020,743169
Florida,Oct 16 2020,740711
Florida,Oct 15 2020,736739
Florida,Oct 14 2020,733372
Florida,Oct 13 2020,730092
Florida,Oct 12 2020,727259
Florida,Oct 11 2020,724581
Florida,Oct 10 2020,723029
Florida,Oct  9 2020,719411
Florida,Oct  8 2020,717639
Florida,Oct  7 2020,714783
Florida,Oct  6 2020,711529
Florida,Oct  5 2020,709042
Florida,Oct  4 2020,706776
Florida,Oct  3 2020,705400
Florida,Oct  2 2020,703546
Florida,Oct  1 2020,700788
Florida,Sep 30 2020,698138
Florida,Sep 29 2020,695343
Florida,Sep 28 2020,693297
Florida,Sep 27 2020,690114
Florida,Sep 26 2020,689306
Florida,Sep 25 2020,687475
Florida,Sep 24 2020,684710
Florida,Sep 23 2020,681910
Florida,Sep 22 2020,679322
Florida,Sep 21 2020,676741
Florida,Sep 20 2020,674361
Florida,Sep 19 2020,672715
Florida,Sep 18 2020,670223
Florida,Sep 17 2020,666680
Florida,Sep 16 2020,663500
Florida,Sep 15 2020,660241
Florida,Sep 14 2020,657944
Florida,Sep 13 2020,655301
Florida,Sep 12 2020,653530
Florida,Sep 11 2020,651162
Florida,Sep 10 2020,648012
Florida,Sep  9 2020,644373
Florida,Sep  8 2020,641842
Florida,Sep  7 2020,639526
Florida,Sep  6 2020,637728
Florida,Sep  5 2020,635866
Florida,Sep  4 2020,633406
Florida,Sep  3 2020,629753
Florida,Sep  2 2020,626556
Florida,Sep  1 2020,622983
Florida,Aug 31 2020,620488
Florida,Aug 30 2020,613117
Florida,Aug 29 2020,611438
Florida,Aug 28 2020,608837
Florida,Aug 27 2020,605728
Florida,Aug 26 2020,602144
Florida,Aug 25 2020,598980
Florida,Aug 24 2020,595727
Florida,Aug 23 2020,593002
Florida,Aug 22 2020,590956
Florida,Aug 21 2020,587967
Florida,Aug 20 2020,583678
Florida,Aug 19 2020,579066
Florida,Aug 18 2020,574546
Florida,Aug 17 2020,570444
Florida,Aug 16 2020,566596
Florida,Aug 15 2020,563927
Florida,Aug 14 2020,560137
Florida,Aug 13 2020,553895
Florida,Aug 12 2020,547817
Florida,Aug 11 2020,541620
Florida,Aug 10 2020,533577
Florida,Aug  9 2020,527834
Florida,Aug  8 2020,523700
Florida,Aug  7 2020,517597
Florida,Aug  6 2020,509295
Florida,Aug  5 2020,501782
Florida,Aug  4 2020,494234
