Data Table for Total Cases - Oklahoma
Date generated: Mon Sep 27 2021 02:37:09 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Oklahoma,Apr  9 2021,444432
Oklahoma,Apr  8 2021,444222
Oklahoma,Apr  7 2021,443984
Oklahoma,Apr  6 2021,443733
Oklahoma,Apr  5 2021,443444
Oklahoma,Apr  4 2021,443284
Oklahoma,Apr  3 2021,443069
Oklahoma,Apr  2 2021,442860
Oklahoma,Apr  1 2021,442611
Oklahoma,Mar 31 2021,442381
Oklahoma,Mar 30 2021,442119
Oklahoma,Mar 29 2021,441874
Oklahoma,Mar 28 2021,441661
Oklahoma,Mar 27 2021,441465
Oklahoma,Mar 26 2021,441261
Oklahoma,Mar 25 2021,441016
Oklahoma,Mar 24 2021,440753
Oklahoma,Mar 23 2021,440472
Oklahoma,Mar 22 2021,440178
Oklahoma,Mar 21 2021,439957
Oklahoma,Mar 20 2021,439743
Oklahoma,Mar 19 2021,439480
Oklahoma,Mar 18 2021,439237
Oklahoma,Mar 17 2021,438953
Oklahoma,Mar 16 2021,438688
Oklahoma,Mar 15 2021,438347
Oklahoma,Mar 14 2021,438129
Oklahoma,Mar 13 2021,437903
Oklahoma,Mar 12 2021,437581
Oklahoma,Mar 11 2021,437202
Oklahoma,Mar 10 2021,436820
Oklahoma,Mar  9 2021,436419
Oklahoma,Mar  8 2021,435937
Oklahoma,Mar  7 2021,435667
Oklahoma,Mar  6 2021,435419
Oklahoma,Mar  5 2021,435087
Oklahoma,Mar  4 2021,434723
Oklahoma,Mar  3 2021,434316
Oklahoma,Mar  2 2021,433922
Oklahoma,Mar  1 2021,433438
Oklahoma,Feb 28 2021,433168
Oklahoma,Feb 27 2021,432902
Oklahoma,Feb 26 2021,432525
Oklahoma,Feb 25 2021,432134
Oklahoma,Feb 24 2021,431712
Oklahoma,Feb 23 2021,431151
Oklahoma,Feb 22 2021,430526
Oklahoma,Feb 21 2021,430097
Oklahoma,Feb 20 2021,429671
Oklahoma,Feb 19 2021,429053
Oklahoma,Feb 18 2021,428412
Oklahoma,Feb 17 2021,428037
Oklahoma,Feb 16 2021,427421
Oklahoma,Feb 15 2021,427000
Oklahoma,Feb 14 2021,426649
Oklahoma,Feb 13 2021,426089
Oklahoma,Feb 12 2021,425180
Oklahoma,Feb 11 2021,424271
Oklahoma,Feb 10 2021,423430
Oklahoma,Feb  9 2021,422364
Oklahoma,Feb  8 2021,420950
Oklahoma,Feb  7 2021,420050
Oklahoma,Feb  6 2021,419151
Oklahoma,Feb  5 2021,417689
Oklahoma,Feb  4 2021,416150
Oklahoma,Feb  3 2021,414492
Oklahoma,Feb  2 2021,412541
Oklahoma,Feb  1 2021,410093
Oklahoma,Jan 31 2021,408899
Oklahoma,Jan 30 2021,407642
Oklahoma,Jan 29 2021,405741
Oklahoma,Jan 28 2021,403811
Oklahoma,Jan 27 2021,401643
Oklahoma,Jan 26 2021,399385
Oklahoma,Jan 25 2021,396435
Oklahoma,Jan 24 2021,394915
Oklahoma,Jan 23 2021,393303
Oklahoma,Jan 22 2021,390977
Oklahoma,Jan 21 2021,388385
Oklahoma,Jan 20 2021,385829
Oklahoma,Jan 19 2021,383010
Oklahoma,Jan 18 2021,380210
Oklahoma,Jan 17 2021,378492
Oklahoma,Jan 16 2021,376793
Oklahoma,Jan 15 2021,374197
Oklahoma,Jan 14 2021,371475
Oklahoma,Jan 13 2021,368530
Oklahoma,Jan 12 2021,365363
Oklahoma,Jan 11 2021,361443
Oklahoma,Jan 10 2021,359445
Oklahoma,Jan  9 2021,357361
Oklahoma,Jan  8 2021,354099
Oklahoma,Jan  7 2021,350724
Oklahoma,Jan  6 2021,346822
Oklahoma,Jan  5 2021,342671
Oklahoma,Jan  4 2021,337128
Oklahoma,Jan  3 2021,334353
Oklahoma,Jan  2 2021,331382
Oklahoma,Jan  1 2021,329026
Oklahoma,Dec 31 2020,325524
Oklahoma,Dec 30 2020,321373
Oklahoma,Dec 29 2020,316545
Oklahoma,Dec 28 2020,310620
Oklahoma,Dec 27 2020,307560
Oklahoma,Dec 26 2020,304507
Oklahoma,Dec 25 2020,302990
Oklahoma,Dec 24 2020,300273
Oklahoma,Dec 23 2020,296452
Oklahoma,Dec 22 2020,292848
Oklahoma,Dec 21 2020,288006
Oklahoma,Dec 20 2020,285784
Oklahoma,Dec 19 2020,283569
Oklahoma,Dec 18 2020,279890
Oklahoma,Dec 17 2020,275979
Oklahoma,Dec 16 2020,272175
Oklahoma,Dec 15 2020,268427
Oklahoma,Dec 14 2020,263990
Oklahoma,Dec 13 2020,262114
Oklahoma,Dec 12 2020,259932
Oklahoma,Dec 11 2020,256741
