State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Mar 29 2021,58142,63173,0
United States,Mar 28 2021,52308,61913,0
United States,Mar 27 2021,62777,60786,0
United States,Mar 26 2021,76413,60079,0
United States,Mar 25 2021,66168,57973,0
United States,Mar 24 2021,67356,57514,0
United States,Mar 23 2021,59051,56742,0
United States,Mar 22 2021,49318,55875,0
United States,Mar 21 2021,44420,55080,0
United States,Mar 20 2021,57828,54859,0
United States,Mar 19 2021,61673,54140,0
United States,Mar 18 2021,62958,54282,0
United States,Mar 17 2021,61946,53877,0
United States,Mar 16 2021,52983,53805,0
United States,Mar 15 2021,43752,53996,0
United States,Mar 14 2021,42877,53925,0
United States,Mar 13 2021,52794,53949,0
United States,Mar 12 2021,62668,54525,0
United States,Mar 11 2021,60125,54669,0
United States,Mar 10 2021,61437,55333,0
United States,Mar  9 2021,54325,55876,891
United States,Mar  8 2021,43252,55848,0
United States,Mar  7 2021,43044,57045,0
United States,Mar  6 2021,56824,58129,0
United States,Mar  5 2021,63679,59640,0
United States,Mar  4 2021,64773,60947,0
United States,Mar  3 2021,65236,61836,0
United States,Mar  2 2021,54132,62935,0
United States,Mar  1 2021,51633,65388,0
United States,Feb 28 2021,50628,66078,0
United States,Feb 27 2021,67401,66648,0
United States,Feb 26 2021,72832,66402,0
United States,Feb 25 2021,70993,66260,0
United States,Feb 24 2021,72929,65923,0
United States,Feb 23 2021,71303,64838,0
United States,Feb 22 2021,56464,63024,0
United States,Feb 21 2021,54619,63208,0
United States,Feb 20 2021,65679,64721,0
United States,Feb 19 2021,71834,67260,0
United States,Feb 18 2021,68639,70893,0
United States,Feb 17 2021,65331,75090,0
United States,Feb 16 2021,58606,79886,0
United States,Feb 15 2021,57753,84899,0
United States,Feb 14 2021,65206,88461,0
United States,Feb 13 2021,83454,91911,0
United States,Feb 12 2021,97263,95390,0
United States,Feb 11 2021,98021,99246,0
United States,Feb 10 2021,98903,102961,0
United States,Feb  9 2021,93694,104479,0
United States,Feb  8 2021,82686,107906,0
United States,Feb  7 2021,89358,114480,0
United States,Feb  6 2021,107810,117386,0
United States,Feb  5 2021,124254,121232,0
United States,Feb  4 2021,124022,126851,0
United States,Feb  3 2021,109533,131379,0
United States,Feb  2 2021,117679,138447,0
United States,Feb  1 2021,128710,143192,0
United States,Jan 31 2021,109694,144042,0
United States,Jan 30 2021,134735,148448,0
United States,Jan 29 2021,163590,152460,0
United States,Jan 28 2021,155716,155998,0
United States,Jan 27 2021,159010,160603,0
United States,Jan 26 2021,150894,165157,0
United States,Jan 25 2021,134659,165676,0
United States,Jan 24 2021,140534,168092,0
United States,Jan 23 2021,162823,173703,0
United States,Jan 22 2021,188352,180669,0
United States,Jan 21 2021,187955,187694,0
United States,Jan 20 2021,190883,192872,0
United States,Jan 19 2021,154528,198340,584
United States,Jan 18 2021,151573,208366,0
United States,Jan 17 2021,179808,215840,0
United States,Jan 16 2021,211590,221380,0
United States,Jan 15 2021,237526,227124,0
United States,Jan 14 2021,224201,234809,0
United States,Jan 13 2021,229159,241240,0
United States,Jan 12 2021,224706,245792,0
United States,Jan 11 2021,203893,250184,0
United States,Jan 10 2021,218586,246289,0
United States,Jan  9 2021,251799,244513,0
United States,Jan  8 2021,291322,240396,0
United States,Jan  7 2021,269221,230851,0
United States,Jan  6 2021,261022,225219,0
United States,Jan  5 2021,255446,222709,0
United States,Jan  4 2021,176629,217596,0
United States,Jan  3 2021,206153,218599,0
United States,Jan  2 2021,222979,211454,0
United States,Jan  1 2021,224508,200709,0
United States,Dec 31 2020,229798,190951,0
United States,Dec 30 2020,243453,186728,0
United States,Dec 29 2020,219658,184656,0
United States,Dec 28 2020,183646,182431,0
United States,Dec 27 2020,156142,182478,0
United States,Dec 26 2020,147760,186682,0
United States,Dec 25 2020,156206,194412,0
United States,Dec 24 2020,200235,205741,0
United States,Dec 23 2020,228951,212343,0
United States,Dec 22 2020,204081,214496,0
United States,Dec 21 2020,183976,214649,0
United States,Dec 20 2020,185571,216948,0
United States,Dec 19 2020,201869,215971,0
United States,Dec 18 2020,235506,217914,0
United States,Dec 17 2020,246447,219643,0
United States,Dec 16 2020,244028,214410,0
United States,Dec 15 2020,205149,211254,0
United States,Dec 14 2020,200066,214929,0
United States,Dec 13 2020,178734,212906,0
United States,Dec 12 2020,215470,212308,0
United States,Dec 11 2020,247613,210727,0
United States,Dec 10 2020,209814,207652,0
United States,Dec  9 2020,221933,209021,0
United States,Dec  8 2020,230875,207952,0
United States,Dec  7 2020,185909,203248,0
United States,Dec  6 2020,174548,199072,0
United States,Dec  5 2020,204398,194216,0
United States,Dec  4 2020,226091,185727,0
United States,Dec  3 2020,219398,176701,0
United States,Dec  2 2020,214447,165855,0
United States,Dec  1 2020,197951,163231,0
United States,Nov 30 2020,156676,160593,0
United States,Nov 29 2020,140554,161263,0
United States,Nov 28 2020,144978,162699,0
United States,Nov 27 2020,162903,166572,0
United States,Nov 26 2020,143477,171035,0
United States,Nov 25 2020,196078,177674,0
United States,Nov 24 2020,179487,174701,0
United States,Nov 23 2020,161366,173373,0
United States,Nov 22 2020,150604,172456,0
United States,Nov 21 2020,172089,170822,0
United States,Nov 20 2020,194146,169549,0
United States,Nov 19 2020,189954,167231,0
United States,Nov 18 2020,175267,163585,0
United States,Nov 17 2020,170185,160774,0
United States,Nov 16 2020,154952,157926,0
United States,Nov 15 2020,139162,153901,0
United States,Nov 14 2020,163183,150059,0
United States,Nov 13 2020,177919,145130,0
United States,Nov 12 2020,164427,139012,0
United States,Nov 11 2020,155596,133290,0
United States,Nov 10 2020,150247,127713,0
United States,Nov  9 2020,126778,120595,0
United States,Nov  8 2020,112269,115055,0
United States,Nov  7 2020,128674,109472,0
United States,Nov  6 2020,135097,104245,0
United States,Nov  5 2020,124375,98813,0
United States,Nov  4 2020,116553,94217,0
United States,Nov  3 2020,100420,89816,0
United States,Nov  2 2020,87998,86540,0
United States,Nov  1 2020,73193,84140,67475
United States,Oct 31 2020,92082,82977,0
United States,Oct 30 2020,97071,80612,0
United States,Oct 29 2020,92202,78484,0
United States,Oct 28 2020,85752,75817,0
United States,Oct 27 2020,77485,73665,0
United States,Oct 26 2020,71199,71266,0
United States,Oct 25 2020,65050,70063,0
United States,Oct 24 2020,75526,67617,0
United States,Oct 23 2020,82174,64521,0
United States,Oct 22 2020,73538,62670,0
United States,Oct 21 2020,70683,61232,0
United States,Oct 20 2020,60693,59544,0
United States,Oct 19 2020,62781,58429,0
United States,Oct 18 2020,47926,56523,0
United States,Oct 17 2020,53856,56003,0
United States,Oct 16 2020,69215,55994,0
United States,Oct 15 2020,63473,54550,0
United States,Oct 14 2020,58868,53410,0
United States,Oct 13 2020,52884,52996,0
United States,Oct 12 2020,49442,51641,0
United States,Oct 11 2020,44287,50610,0
United States,Oct 10 2020,53794,49306,0
United States,Oct  9 2020,59102,48369,0
United States,Oct  8 2020,55494,47178,0
United States,Oct  7 2020,55970,46012,0
United States,Oct  6 2020,43404,44707,0
United States,Oct  5 2020,42223,44159,0
United States,Oct  4 2020,35157,43816,0
United States,Oct  3 2020,47239,43783,0
United States,Oct  2 2020,50765,42926,0
United States,Oct  1 2020,47328,42787,0
United States,Sep 30 2020,46837,42457,0
United States,Sep 29 2020,39568,41867,0
United States,Sep 28 2020,39823,43471,0
United States,Sep 27 2020,34922,43788,0
United States,Sep 26 2020,41239,43610,0
United States,Sep 25 2020,49796,43674,0
United States,Sep 24 2020,45016,43386,0
United States,Sep 23 2020,42705,43409,0
United States,Sep 22 2020,50801,43737,0
United States,Sep 21 2020,42041,41895,0
United States,Sep 20 2020,33676,40921,0
United States,Sep 19 2020,41685,40693,0
United States,Sep 18 2020,47778,40390,0
United States,Sep 17 2020,45182,39955,0
